Strong's Number,Original Word,Testament,Has English,Has Telugu,Part of Speech,Gloss/Note
G117,"Ἀθηναῖος",Greek (NT),No,No,,""
G118,"ἀθλέω",Greek (NT),No,No,,""
G119,"ἄθλησις",Greek (NT),No,No,,""
G120,"ἀθυμέω",Greek (NT),No,No,,""
G121,"ἄθωος",Greek (NT),No,No,,""
G122,"αἴγειος",Greek (NT),No,No,,""
G123,"αἰγιαλός",Greek (NT),No,No,,""
G124,"Αἰγύπτιος",Greek (NT),No,No,,""
G125,"Αἴγυπτος",Greek (NT),No,No,,""
G126,"ἀΐδιος",Greek (NT),No,No,,""
G127,"αἰδώς",Greek (NT),No,No,,""
G128,"Αἰθίοψ",Greek (NT),No,No,,""
G129,"αἷμα",Greek (NT),No,Yes,,""
G130,"αἱματεκχυσία",Greek (NT),No,No,,""
G131,"αἱμοῤῥέω",Greek (NT),No,No,,""
G132,"Αἰνέας",Greek (NT),No,No,,""
G133,"αἴνεσις",Greek (NT),No,No,,""
G134,"αἰνέω",Greek (NT),No,No,,""
G135,"αἴνιγμα",Greek (NT),No,No,,""
G136,"αἶνος",Greek (NT),No,No,,""
G137,"Αἰνών",Greek (NT),No,No,,""
G138,"ἕλλομαι",Greek (NT),No,No,,""
G139,"αἵρεσις",Greek (NT),No,No,,""
G140,"αἱρετίζω",Greek (NT),No,No,,""
G141,"αἱρετικός",Greek (NT),No,No,,""
G142,"αἴρω",Greek (NT),No,No,,""
G143,"αἰσθάνομαι",Greek (NT),No,No,,""
G144,"αἴσθησις",Greek (NT),No,No,,""
G145,"αἰσθητήριον",Greek (NT),No,No,,""
G146,"αἰσχροκερδής",Greek (NT),No,No,,""
G147,"αἰσχροκερδῶς",Greek (NT),No,No,,""
G148,"αἰσχρολογία",Greek (NT),No,No,,""
G149,"αἰσχρόν",Greek (NT),No,No,,""
G150,"αἰσχρός",Greek (NT),No,No,,""
G151,"αἰσχρότης",Greek (NT),No,No,,""
G152,"αἰσχύνη",Greek (NT),No,No,,""
G153,"αἰσχύνομαι",Greek (NT),No,No,,""
G154,"αἰτέω",Greek (NT),No,No,,""
G155,"αἴτημα",Greek (NT),No,No,,""
G156,"αἰτία",Greek (NT),No,No,,""
G157,"αἰτίαμα",Greek (NT),No,No,,""
G158,"αἴτιον",Greek (NT),No,No,,""
G159,"αἴτιος",Greek (NT),No,No,,""
G160,"αἰφνίδιος",Greek (NT),No,No,,""
G161,"αἰχμαλωσία",Greek (NT),No,No,,""
G162,"αἰχμαλωτεύω",Greek (NT),No,No,,""
G163,"αἰχμαλωτίζω",Greek (NT),No,No,,""
G164,"αἰχμάλωτος",Greek (NT),No,No,,""
G165,"αἰών",Greek (NT),No,Yes,,""
G166,"αἰώνιος",Greek (NT),No,Yes,,""
G167,"ἀκαθαρσία",Greek (NT),No,No,,""
G168,"ἀκαθάρτης",Greek (NT),No,No,,""
G169,"ἀκάθαρτος",Greek (NT),No,No,,""
G170,"ἀκαιρέομαι",Greek (NT),No,No,,""
G171,"ἀκαίρως",Greek (NT),No,No,,""
G172,"ἄκακος",Greek (NT),No,No,,""
G173,"ἄκανθα",Greek (NT),No,No,,""
G174,"ἀκάνθινος",Greek (NT),No,No,,""
G175,"ἄκαρπος",Greek (NT),No,No,,""
G176,"ἀκατάγνωστος",Greek (NT),No,No,,""
G177,"ἀκατακάλυπτος",Greek (NT),No,No,,""
G178,"ἀκατάκριτος",Greek (NT),No,No,,""
G179,"ἀκατάλυτος",Greek (NT),No,No,,""
G180,"ἀκατάπαυστος",Greek (NT),No,No,,""
G181,"ἀκαταστασία",Greek (NT),No,No,,""
G182,"ἀκατάστατος",Greek (NT),No,No,,""
G183,"ἀκατάσχετος",Greek (NT),No,No,,""
G184,"Ἀκελδαμά",Greek (NT),No,No,,""
G185,"ἀκέραιος",Greek (NT),No,No,,""
G186,"ἀκλινής",Greek (NT),No,No,,""
G187,"ἀκμάζω",Greek (NT),No,No,,""
G188,"ἀκμήν",Greek (NT),No,No,,""
G189,"ἀκοή",Greek (NT),No,No,,""
G190,"ἀκολουθέω",Greek (NT),No,No,,""
G191,"ἀκούω",Greek (NT),No,Yes,,""
G192,"ἀκρασία",Greek (NT),No,No,,""
G193,"ἀκρατής",Greek (NT),No,No,,""
G194,"ἄκρατος",Greek (NT),No,No,,""
G195,"ἀκρίβεια",Greek (NT),No,No,,""
G196,"ἀκριβέστατος",Greek (NT),No,No,,""
G197,"ἀκριβέστερον",Greek (NT),No,No,,""
G198,"ἀκριβόω",Greek (NT),No,No,,""
G199,"ἀκριβῶς",Greek (NT),No,No,,""
