Strong's Number,Original Word,English Meaning,Telugu Word,Telugu Meaning,Language,Testament
H0065,אָבֵל מְחוֹלָה,Abel Mchowlah (aw-bale' mekh-o-law') n/l.,,,Hebrew,Old Testament
H0066,אַבֵל מַיִם,Abel Mayim (aw-bale' mah'-yim) n/l.,,,Hebrew,Old Testament
H0067,אָבֵל מִצרַיִם,Abel Mitsrayim (aw-bale' mits-rah'-yim) n/l.,,,Hebrew,Old Testament
H0068,אֶבֶן,a stone,ఎబెన్,రాయి,Hebrew,Old Testament
H0069,אֶבֶן,stone,,,Hebrew,Old Testament
H0070,אוֹבֶן,a pair of stones (only dual),,,Hebrew,Old Testament
H0071,אֲבָנָה,Abanah (ab-aw-naw') n/l.,,,Hebrew,Old Testament
H0072,אֶבֶן הָעֵזֶר,Eben ha-`ezer (eh'-ben haw-e'-zer) n/l.,,,Hebrew,Old Testament
H0073,אַבנֵט,a belt,,,Hebrew,Old Testament
H0074,אַבנֵר אֲבִינֵר,Abner (ab-nare') (or (fully) nAbiyner ab-ee-nare') n/p.,,,Hebrew,Old Testament
H0075,אָבַס,abac (aw-bas') v.,,,Hebrew,Old Testament
H0076,אֲבַעבּוּעָה,an inflammatory pustule (as eruption),,,Hebrew,Old Testament
H0077,אֶבֶץ,Ebets (eh'-bets) n/l.,,,Hebrew,Old Testament
H0078,אִבצָּן,Ibtsan (ib-tsawn') n/p.,,,Hebrew,Old Testament
H0079,אָבַק,abaq (aw-bak') v.,,,Hebrew,Old Testament
H0080,אָבָק,light particles (as volatile),,,Hebrew,Old Testament
H0081,אֲבָקָה,powder,,,Hebrew,Old Testament
H0082,אָבַר,abar (aw-bar') v.,,,Hebrew,Old Testament
H0083,אֵבֶר,a pinion,,,Hebrew,Old Testament
H0084,אֶברָה,feather,,,Hebrew,Old Testament
H0085,אַברָהָם,Abraham (ab-raw-hawm') n/p.,అబ్రాహాం,సమూహమునకు తండ్రి,Hebrew,Old Testament
H0086,אַברֵך,abrek (ab-rake') inj.,,,Hebrew,Old Testament
H0087,אַברָם,Abram (ab-rawm') n/p.,,,Hebrew,Old Testament
H0088,אוֹבוֹת,oboth (o-both') n/l.,,,Hebrew,Old Testament
H0089,אָגֵא,Age' (aw-gay') n/p.,,,Hebrew,Old Testament
H0090,אֲגַג,Agag (ag-ag') (or uAgag Ag-awg') n/p.,,,Hebrew,Old Testament
H0091,אֲגָגִי,Agagiy (ag-aw-ghee') adj.,,,Hebrew,Old Testament
H0092,אֲגֻדָּה,a band,,,Hebrew,Old Testament
H0093,אֱגוֹז,a nut,,,Hebrew,Old Testament
H0094,אָגוּר,Aguwr (aw-goor') n/p.,,,Hebrew,Old Testament
H0095,אֲגוֹרָה,(properly) something gathered,,,Hebrew,Old Testament
H0096,אֶגֶל,a reservoir,,,Hebrew,Old Testament
H0097,אֶגלַיִם,Eglayim (eg-lah'-yim) n/l.,,,Hebrew,Old Testament
H0098,אֲגַם,a marsh,,,Hebrew,Old Testament
H0099,אָגֵם,agem (aw-game') adj.,,,Hebrew,Old Testament
H0100,אַגמוֹן,a marshy pool (others from a different root,,,Hebrew,Old Testament
H0101,אַגָּן,a bowl (as pounded out hollow),,,Hebrew,Old Testament
H0102,אַגָּף,a cover or heap,,,Hebrew,Old Testament
H0103,אָגַר,agar (aw-gar') v.,,,Hebrew,Old Testament
H0104,אִגְּרָא,an epistle (as carried by a state courier or postman),,,Hebrew,Old Testament
H0105,אֲגַרטָּל,a basin,,,Hebrew,Old Testament
H0106,אֶגרוֹף,the clenched hand,,,Hebrew,Old Testament
H0107,אִגֶּרֶת,an epistle,,,Hebrew,Old Testament
H0108,אֵד,a fog,,,Hebrew,Old Testament
H0109,אָדַב,adab (aw-dab') v.,,,Hebrew,Old Testament
H0110,אַדבְּאֵל,Adb'el (ad-beh-ale') n/p.,,,Hebrew,Old Testament
H0111,אֲדַד,Adad (ad-ad') n/p.,,,Hebrew,Old Testament
H0112,אִדּוֹ,Iddow (id-do) n/p.,,,Hebrew,Old Testament
H0113,אָדוֹן אָדוֹן,sovereign,ఆదోన్,ప్రభువు,Hebrew,Old Testament
H0114,אַדּוֹן,Addown (ad-done') adj.,,,Hebrew,Old Testament
H0115,אֲדוֹרַיִם,Adowrayim (ad-o-rah'-yim) n/l.,,,Hebrew,Old Testament
H0116,אֱדַיִן,edayin (ed-ah'-yin) adv.,,,Hebrew,Old Testament
H0117,אַדִּיר,addiyr (ad-deer') adj.,,,Hebrew,Old Testament
H0118,אֲדַליָא,Adalya' (ad-al-yaw') n/p.,,,Hebrew,Old Testament
H0119,אָדַם,adam (aw-dam') v.,ఆదమ్,ఎర్రగా చేయు,Hebrew,Old Testament
H0120,אָדָם,ruddy i.e. a human being (an individual or the species,ఆదాం,మానవుడు,Hebrew,Old Testament
H0121,אָדָם,Adam (aw-dawm') n/p.,ఆదాం,ఆదాము,Hebrew,Old Testament
H0122,אָדוֹם,adom (aw-dome') adj.,,,Hebrew,Old Testament
